applicant_id,name,gender,age,marital_status,employment_status,annual_income,loan_amount,loan_term_months,loan_purpose,credit_score,existing_loans_count,monthly_expense,application_date,approval_status,late_payments,risk_flag,region,employment_years,defaulted_before,debt_to_income_ratio,credit_risk_tier,income_group,approved_flag,late_payment_band
1c657df7-71b1-4e97-a10e-5f5d4fefec5a,Miguel Brooks,Female,44,Single,Employed,87285.74,11218.38,36,Education,431,3,4861.14,2023-05-21,Pending,1,0,Birmingham,0,0,0.6683,Poor,60K-90K,0,1-2
08d745b5-c470-426e-bdb0-603b398e9516,Jesse Patterson,Other,57,Widowed,Unemployed,70423.29,19017.3,60,Personal,760,0,4232.9,2024-01-23,Pending,1,0,Liverpool,9,0,0.7213,Very Good,60K-90K,0,1-2
4b7885b0-26ce-4a62-a933-31511205a3e0,Eric Lynch,Male,35,Widowed,Employed,108418.4,2346.41,60,Personal,524,4,4725.68,2024-05-09,Approved,3,0,Manchester,27,0,0.523,Poor,90K+,1,3+
ef24a57a-da30-43ac-aa5c-30a7cf0333e5,Rhonda Wilson,Other,36,Divorced,Employed,119035.58,10227.73,12,Car,735,2,3729.43,2024-10-29,Denied,1,0,Birmingham,11,0,0.376,Good,90K+,0,1-2
e4b9021b-5cf3-45e6-b928-aedf4dc7ce35,Mikayla Sloan,Male,45,Divorced,Employed,42406.24,23691.45,12,Education,410,2,3058.48,2024-03-01,Approved,1,1,London,4,0,0.8655,Poor,30K-60K,1,1-2
3bd914ec-8cab-4287-8b18-300d76c8735a,Andrew Sullivan,Female,56,Widowed,Unemployed,93391.52,19346.87,48,Home,850,2,4699.77,2025-01-03,Denied,0,0,Liverpool,17,0,0.6039,Exceptional,90K+,0,0
83bf44a2-96e7-49be-8750-fc873c9014d2,Karen House,Male,29,Divorced,Self-employed,51538.56,44062.16,48,Business,551,1,2765.04,2023-07-04,Approved,1,0,Liverpool,19,0,0.6438,Poor,30K-60K,1,1-2
d087c34a-6c9e-4d0c-b75b-939e709d010e,David Bradley,Male,50,Widowed,Employed,34527.36,43408.31,36,Home,675,3,1453.34,2024-11-11,Denied,0,0,Manchester,24,0,0.5051,Good,30K-60K,0,0
83bd3bb2-ba34-4380-bf49-895bd54b80f5,Ronald Keith,Male,33,Widowed,Employed,30652.82,44609.16,36,Business,350,0,3673.67,2025-02-09,Pending,2,0,Glasgow,7,0,1.4382,Poor,30K-60K,0,1-2
32723fba-5b34-44e4-b249-4030af9e2187,Adam Smith,Other,21,Widowed,Employed,15280.41,30695.33,24,Business,690,1,4974.49,2024-11-20,Approved,0,0,London,18,0,3.9066,Good,<30K,1,0
